Supplementary Table 2. Phase separation probability of all the reviewed human proteins			
Uniprot	Gene	Probability	Type
Q92734	TFG	0.926	PSProteome
P46777	RL5	0.925	PSProteome
P16333	NCK1	0.925	PSProteome
P04264	K2C1	0.925	PSProteome
P37198	NUP62	0.924	PSProteome
P03372	ESR1	0.924	PSProteome
Q14157	UBP2L	0.924	PSProteome
O15355	PPM1G	0.924	PSProteome
P11274	BCR	0.924	PSProteome
O94979	SC31A	0.924	PSProteome
Q6UN15	FIP1	0.923	PSProteome
O96013	PAK4	0.923	PSProteome
Q07955	SRSF1	0.923	PSProteome
P55265	DSRAD	0.923	PSProteome
Q68EM7	RHG17	0.923	PSProteome
P05067	APP	0.922	PSProteome
Q8WUM4	PDC6I	0.921	PSProteome
Q12959	DLG1	0.921	PSProteome
P11142	HSP7C	0.921	PSProteome
Q8IWX8	CHERP	0.921	PSProteome
Q01130	SRSF2	0.92	PSProteome
P29590	PML	0.92	PSProteome
P11021	GRP78	0.92	PSProteome
Q9UKX7	NUP50	0.92	PSProteome
O60341	KDM1A	0.92	PSProteome
P98082	DAB2	0.92	PSProteome
Q15942	ZYX	0.92	PSProteome
P15170	ERF3A	0.919	PSProteome
Q14444	CAPR1	0.919	PSProteome
P51114	FXR1	0.919	PSProteome
Q8TEW0	PARD3	0.919	PSProteome
P49840	GSK3A	0.919	PSProteome
P29353	SHC1	0.919	PSProteome
Q71U36	TBA1A	0.918	PSProteome
Q9UJU6	DBNL	0.918	PSProteome
Q14974	IMB1	0.917	PSProteome
Q04637	IF4G1	0.917	PSProteome
P33991	MCM4	0.917	PSProteome
Q8WV28	BLNK	0.916	PSProteome
P83916	CBX1	0.916	PSProteome
Q04726	TLE3	0.916	PSProteome
O60716	CTND1	0.915	PSProteome
P34932	HSP74	0.915	PSProteome
P27694	RFA1	0.914	PSProteome
P17066	HSP76	0.914	PSProteome
Q7Z417	NUFP2	0.914	PSProteome
Q06587	RING1	0.914	PSProteome
Q7L2J0	MEPCE	0.914	PSProteome
Q9P2K5	MYEF2	0.913	PSProteome
Q13153	PAK1	0.913	PSProteome
Q96HC4	PDLI5	0.913	PSProteome
Q14847	LASP1	0.913	PSProteome
Q9Y2J2	E41L3	0.913	PSProteome
Q9NZI8	IF2B1	0.912	PSProteome
P20073	ANXA7	0.912	PSProteome
Q9NRM7	LATS2	0.912	PSProteome
O15350	P73	0.912	PSProteome
O00257	CBX4	0.912	PSProteome
P54652	HSP72	0.911	PSProteome
Q13573	SNW1	0.911	PSProteome
O00425	IF2B3	0.911	PSProteome
O75400	PR40A	0.911	PSProteome
Q86SG3	DAZ4	0.91	PSProteome
Q96I25	SPF45	0.91	PSProteome
Q86U42	PABP2	0.909	PSProteome
Q14694	UBP10	0.909	PSProteome
Q13033	STRN3	0.909	PSProteome
Q9Y6G9	DC1L1	0.909	PSProteome
Q14781	CBX2	0.908	PSProteome
P51531	SMCA2	0.908	PSProteome
P10276	RARA	0.907	PSProteome
Q96QC0	PP1RA	0.907	PSProteome
P11171	41	0.907	PSProteome
O60884	DNJA2	0.907	PSProteome
Q9UHX1	PUF60	0.907	PSProteome
Q9NYV4	CDK12	0.907	PSProteome
P35908	K22E	0.907	PSProteome
O60271	JIP4	0.907	PSProteome
Q9Y2X9	ZN281	0.907	PSProteome
Q96DH6	MSI2H	0.906	PSProteome
Q96QZ7	MAGI1	0.906	PSProteome
O15226	NKRF	0.906	PSProteome
O75791	GRAP2	0.905	PSProteome
P40337	VHL	0.905	PSProteome
P23771	GATA3	0.905	PSProteome
P25205	MCM3	0.905	PSProteome
Q9Y6I3	EPN1	0.905	PSProteome
P25685	DNJB1	0.904	PSProteome
Q9NTZ6	RBM12	0.904	PSProteome
Q8WX93	PALLD	0.904	PSProteome
P46379	BAG6	0.904	PSProteome
Q08379	GOGA2	0.903	PSProteome
P52272	HNRPM	0.903	PSProteome
Q96T37	RBM15	0.903	PSProteome
Q16643	DREB	0.903	PSProteome
Q96KR1	ZFR	0.903	PSProteome
Q99081	HTF4	0.903	PSProteome
Q02078	MEF2A	0.903	PSProteome
Q68CZ2	TENS3	0.903	PSProteome
Q9NRR5	UBQL4	0.903	PSProteome
O95747	OXSR1	0.902	PSProteome
P23588	IF4B	0.901	PSProteome
Q92900	RENT1	0.901	PSProteome
P46937	YAP1	0.901	PSProteome
P42566	EPS15	0.9	PSProteome
P49959	MRE11	0.9	PSProteome
Q99459	CDC5L	0.9	PSProteome
Q01167	FOXK2	0.9	PSProteome
P19838	NFKB1	0.9	PSProteome
O14745	NHRF1	0.9	PSProteome
Q96F86	EDC3	0.899	PSProteome
O00410	IPO5	0.899	PSProteome
Q8IUD2	RB6I2	0.899	PSProteome
Q13263	TIF1B	0.899	PSProteome
Q8WYQ5	DGCR8	0.899	PSProteome
Q9Y2W2	WBP11	0.899	PSProteome
P27540	ARNT	0.899	PSProteome
P56945	BCAR1	0.899	PSProteome
P15923	TFE2	0.899	PSProteome
Q14134	TRI29	0.899	PSProteome
Q02241	KIF23	0.897	PSProteome
P22059	OSBP1	0.897	PSProteome
Q05397	FAK1	0.897	PSProteome
Q15022	SUZ12	0.897	PSProteome
P68104	EF1A1	0.897	PSProteome
P29350	PTN6	0.897	PSProteome
P55072	TERA	0.896	PSProteome
P46109	CRKL	0.896	PSProteome
O14964	HGS	0.896	PSProteome
P55196	AFAD	0.896	PSProteome
Q16186	ADRM1	0.896	PSProteome
Q92796	DLG3	0.896	PSProteome
Q9UNP9	PPIE	0.896	PSProteome
Q05639	EF1A2	0.895	PSProteome
Q5SSJ5	HP1B3	0.895	PSProteome
O00499	BIN1	0.895	PSProteome
Q13469	NFAC2	0.895	PSProteome
Q9NZN8	CNOT2	0.894	PSProteome
P49023	PAXI	0.894	PSProteome
P17275	JUNB	0.894	PSProteome
P62750	RL23A	0.893	PSProteome
P04156	PRIO	0.893	PSProteome
Q14684	RRP1B	0.893	PSProteome
Q1KMD3	HNRL2	0.893	PSProteome
P15884	ITF2	0.893	PSProteome
Q15596	NCOA2	0.893	PSProteome
Q6NUN9	ZN746	0.893	PSProteome
Q7KZF4	SND1	0.892	PSProteome
Q15554	TERF2	0.892	PSProteome
Q8NE71	ABCF1	0.892	PSProteome
Q13177	PAK2	0.892	PSProteome
P49757	NUMB	0.892	PSProteome
O43491	E41L2	0.892	PSProteome
P78362	SRPK2	0.892	PSProteome
Q86U86	PB1	0.892	PSProteome
Q00577	PURA	0.891	PSProteome
Q9GZR7	DDX24	0.891	PSProteome
Q08945	SSRP1	0.891	PSProteome
O14976	GAK	0.891	PSProteome
Q9Y230	RUVB2	0.89	PSProteome
Q92598	HS105	0.89	PSProteome
Q9P258	RCC2	0.89	PSProteome
Q9Y5V3	MAGD1	0.89	PSProteome
O95429	BAG4	0.89	PSProteome
P31689	DNJA1	0.889	PSProteome
Q7KZI7	MARK2	0.889	PSProteome
P50570	DYN2	0.889	PSProteome
Q5VWX1	KHDR2	0.889	PSProteome
Q96PU5	NED4L	0.889	PSProteome
Q12929	EPS8	0.889	PSProteome
O14776	TCRG1	0.889	PSProteome
Q9HCK8	CHD8	0.889	PSProteome
O95400	CD2B2	0.889	PSProteome
Q969G3	SMCE1	0.889	PSProteome
O75821	EIF3G	0.888	PSProteome
Q9HAU0	PKHA5	0.888	PSProteome
P26358	DNMT1	0.888	PSProteome
P13645	K1C10	0.888	PSProteome
P78347	GTF2I	0.888	PSProteome
Q92499	DDX1	0.888	PSProteome
Q13185	CBX3	0.888	PSProteome
O75367	H2AY	0.888	PSProteome
Q9NSY1	BMP2K	0.888	PSProteome
P51858	HDGF	0.888	PSProteome
Q00653	NFKB2	0.888	PSProteome
Q9UKL0	RCOR1	0.888	PSProteome
O15234	CASC3	0.887	PSProteome
P33992	MCM5	0.887	PSProteome
P09874	PARP1	0.887	PSProteome
P34931	HS71L	0.887	PSProteome
O43143	DHX15	0.887	PSProteome
Q9UMX0	UBQL1	0.887	PSProteome
Q9C0J8	WDR33	0.886	PSProteome
Q06124	PTN11	0.886	PSProteome
O76031	CLPX	0.886	PSProteome
Q02539	H11	0.886	PSProteome
Q92769	HDAC2	0.886	PSProteome
O14497	ARI1A	0.886	PSProteome
O75376	NCOR1	0.886	PSProteome
O00308	WWP2	0.886	PSProteome
P42858	HD	0.885	PSProteome
Q5SW79	CE170	0.885	PSProteome
Q01804	OTUD4	0.885	PSProteome
P55317	FOXA1	0.885	PSProteome
O43318	M3K7	0.885	PSProteome
Q9NR90	DAZ3	0.884	PSProteome
Q13547	HDAC1	0.884	PSProteome
Q6P1J9	CDC73	0.883	PSProteome
P15056	BRAF	0.883	PSProteome
P16403	H12	0.883	PSProteome
Q14671	PUM1	0.883	PSProteome
Q96EY1	DNJA3	0.883	PSProteome
P40222	TXLNA	0.883	PSProteome
P40425	PBX2	0.883	PSProteome
O43663	PRC1	0.882	PSProteome
O75928	PIAS2	0.882	PSProteome
Q15365	PCBP1	0.882	PSProteome
Q9H0D6	XRN2	0.882	PSProteome
Q9Y6M1	IF2B2	0.882	PSProteome
P07947	YES	0.882	PSProteome
Q9BQE3	TBA1C	0.882	PSProteome
Q15427	SF3B4	0.882	PSProteome
Q8N6T3	ARFG1	0.882	PSProteome
Q13330	MTA1	0.882	PSProteome
O14980	XPO1	0.881	PSProteome
Q9NQI0	DDX4	0.881	PSProteome
P68363	TBA1B	0.881	PSProteome
Q05193	DYN1	0.881	PSProteome
Q8WWY3	PRP31	0.881	PSProteome
Q7L014	DDX46	0.881	PSProteome
Q9P2N5	RBM27	0.881	PSProteome
Q9Y5K6	CD2AP	0.881	PSProteome
P49736	MCM2	0.88	PSProteome
P36578	RL4	0.88	PSProteome
Q14004	CDK13	0.88	PSProteome
Q5TCZ1	SPD2A	0.88	PSProteome
P35568	IRS1	0.88	PSProteome
Q01860	PO5F1	0.88	PSProteome
P35611	ADDA	0.879	PSProteome
Q9NR12	PDLI7	0.879	PSProteome
P49674	KC1E	0.879	PSProteome
Q92522	H1X	0.879	PSProteome
O43395	PRPF3	0.879	PSProteome
Q9UBL3	ASH2L	0.879	PSProteome
Q8IVT5	KSR1	0.879	PSProteome
Q04206	TF65	0.879	PSProteome
Q9C0C9	UBE2O	0.879	PSProteome
Q8NE35	CPEB3	0.878	PSProteome
P08758	ANXA5	0.877	PSProteome
Q01105	SET	0.877	PSProteome
P06396	GELS	0.877	PSProteome
Q9Y6W5	WASF2	0.877	PSProteome
Q9P2K3	RCOR3	0.877	PSProteome
Q9UJU2	LEF1	0.877	PSProteome
Q13595	TRA2A	0.877	PSProteome
Q9NSC5	HOME3	0.876	PSProteome
Q9UQB8	BAIP2	0.876	PSProteome
O94842	TOX4	0.876	PSProteome
Q7Z5Q1	CPEB2	0.875	PSProteome
Q9P275	UBP36	0.875	PSProteome
Q92925	SMRD2	0.875	PSProteome
Q9UBC2	EP15R	0.875	PSProteome
P02545	LMNA	0.875	PSProteome
P62995	TRA2B	0.875	PSProteome
Q6W2J9	BCOR	0.875	PSProteome
Q96SB4	SRPK1	0.875	PSProteome
Q8TDD1	DDX54	0.874	PSProteome
Q12873	CHD3	0.873	PSProteome
Q9UI08	EVL	0.872	PSProteome
Q96KQ7	EHMT2	0.872	PSProteome
Q9BWW4	SSBP3	0.872	PSProteome
P16753	UL80	0.871	PSProteome
Q14839	CHD4	0.871	PSProteome
Q14203	DCTN1	0.871	PSProteome
P50991	TCPD	0.871	PSProteome
O76021	RL1D1	0.871	PSProteome
Q00341	VIGLN	0.871	PSProteome
P05412	JUN	0.871	PSProteome
Q13243	SRSF5	0.871	PSProteome
P46108	CRK	0.871	PSProteome
O60610	DIAP1	0.871	PSProteome
A0A2R8Y4L2	HNRNPA1P48	0.87	PSProteome
O95819	M4K4	0.87	PSProteome
P53992	SC24C	0.87	PSProteome
O43166	SI1L1	0.87	PSProteome
Q14669	TRIPC	0.87	PSProteome
Q92777	SYN2	0.869	PSProteome
Q9Y4Z0	LSM4	0.869	PSProteome
P18206	VINC	0.869	PSProteome
P07305	H10	0.869	PSProteome
Q12778	FOXO1	0.869	PSProteome
P43699	NKX21	0.869	PSProteome
Q05209	PTN12	0.869	PSProteome
O43815	STRN	0.868	PSProteome
Q96SB3	NEB2	0.868	PSProteome
O60216	RAD21	0.868	PSProteome
P08047	SP1	0.868	PSProteome
O00139	KIF2A	0.868	PSProteome
O94776	MTA2	0.868	PSProteome
Q9BXP5	SRRT	0.867	PSProteome
P49368	TCPG	0.867	PSProteome
Q9Y266	NUDC	0.867	PSProteome
Q9H2P0	ADNP	0.867	PSProteome
P35527	K1C9	0.867	PSProteome
Q9UKE5	TNIK	0.867	PSProteome
P13639	EF2	0.866	PSProteome
Q14241	ELOA1	0.866	PSProteome
Q15424	SAFB1	0.866	PSProteome
O60333	KIF1B	0.866	PSProteome
P22314	UBA1	0.866	PSProteome
Q01780	EXOSX	0.866	PSProteome
Q16666	IF16	0.866	PSProteome
O15357	SHIP2	0.866	PSProteome
P0CG48	UBC	0.865	PSProteome
P04792	HSPB1	0.865	PSProteome
Q15287	RNPS1	0.865	PSProteome
P10412	H14	0.865	PSProteome
P61247	RS3A	0.865	PSProteome
P08240	SRPR	0.865	PSProteome
O43290	SNUT1	0.865	PSProteome
Q63ZY3	KANK2	0.865	PSProteome
P22681	CBL	0.865	PSProteome
P54725	RD23A	0.865	PSProteome
Q96PV0	SYGP1	0.864	PSProteome
P15880	RS2	0.864	PSProteome
Q99661	KIF2C	0.864	PSProteome
Q09472	EP300	0.863	PSProteome
Q8N7H5	PAF1	0.863	PSProteome
Q9NUL3	STAU2	0.863	PSProteome
P45974	UBP5	0.863	PSProteome
P10809	CH60	0.863	PSProteome
Q6IQ23	PKHA7	0.863	PSProteome
O00429	DNM1L	0.863	PSProteome
Q96PV6	LENG8	0.863	PSProteome
P49848	TAF6	0.863	PSProteome
P35555	FBN1	0.862	PSProteome
O75534	CSDE1	0.862	PSProteome
O00165	HAX1	0.862	PSProteome
P33993	MCM7	0.862	PSProteome
O14639	ABLM1	0.862	PSProteome
P62191	PRS4	0.862	PSProteome
O75533	SF3B1	0.862	PSProteome
P12956	XRCC6	0.862	PSProteome
Q12948	FOXC1	0.862	PSProteome
Q9HDC5	JPH1	0.862	PSProteome
P13647	K2C5	0.862	PSProteome
Q14814	MEF2D	0.862	PSProteome
Q9H9S0	NANOG	0.861	PSProteome
O14974	MYPT1	0.861	PSProteome
P17980	PRS6A	0.861	PSProteome
Q9Y265	RUVB1	0.861	PSProteome
Q5T6F2	UBAP2	0.861	PSProteome
O43524	FOXO3	0.861	PSProteome
Q99569	PKP4	0.86	PSProteome
O75175	CNOT3	0.86	PSProteome
Q13242	SRSF9	0.86	PSProteome
P54253	ATX1	0.86	PSProteome
Q8NI35	INADL	0.86	PSProteome
Q04724	TLE1	0.86	PSProteome
Q01196	RUNX1	0.859	PSProteome
Q9BVP2	GNL3	0.859	PSProteome
P19338	NUCL	0.859	PSProteome
Q2M2I8	AAK1	0.859	PSProteome
Q8N163	CCAR2	0.859	PSProteome
P42166	LAP2A	0.859	PSProteome
Q53F19	CQ085	0.859	PSProteome
Q9UDY4	DNJB4	0.858	PSProteome
Q8N8S7	ENAH	0.858	PSProteome
P07814	SYEP	0.858	PSProteome
Q9H361	PABP3	0.858	PSProteome
P68366	TBA4A	0.858	PSProteome
P12931	SRC	0.858	PSProteome
Q96HR8	NAF1	0.858	PSProteome
Q7Z3K3	POGZ	0.858	PSProteome
Q92620	PRP16	0.858	PSProteome
Q13111	CAF1A	0.857	PSProteome
Q00613	HSF1	0.857	PSProteome
O95758	PTBP3	0.857	PSProteome
Q08J23	NSUN2	0.857	PSProteome
O43707	ACTN4	0.857	PSProteome
Q9UHB6	LIMA1	0.857	PSProteome
P46527	CDN1B	0.857	PSProteome
P85037	FOXK1	0.857	PSProteome
Q13043	STK4	0.857	PSProteome
Q15366	PCBP2	0.856	PSProteome
Q9NRL3	STRN4	0.856	PSProteome
Q6Y7W6	PERQ2	0.856	PSProteome
P31749	AKT1	0.856	PSProteome
Q9Y5B9	SP16H	0.856	PSProteome
O95433	AHSA1	0.856	PSProteome
Q99759	M3K3	0.856	PSProteome
Q9Y2W1	TR150	0.856	PSProteome
Q9HCD5	NCOA5	0.855	PSProteome
Q16665	HIF1A	0.855	PSProteome
Q14151	SAFB2	0.855	PSProteome
P27797	CALR	0.855	PSProteome
Q15910	EZH2	0.855	PSProteome
P16402	H13	0.855	PSProteome
Q9ULU4	PKCB1	0.855	PSProteome
P55884	EIF3B	0.854	PSProteome
P15311	EZRI	0.854	PSProteome
Q14566	MCM6	0.854	PSProteome
Q8TB72	PUM2	0.854	PSProteome
P05455	LA	0.854	PSProteome
O15523	DDX3Y	0.854	PSProteome
P25705	ATPA	0.854	PSProteome
O00567	NOP56	0.854	PSProteome
Q02878	RL6	0.854	PSProteome
Q96T88	UHRF1	0.854	PSProteome
O94913	PCF11	0.854	PSProteome
Q9UGU0	TCF20	0.854	PSProteome
P42768	WASP	0.854	PSProteome
Q6NZY4	ZCHC8	0.854	PSProteome
P48444	COPD	0.853	PSProteome
P49841	GSK3B	0.853	PSProteome
P48643	TCPE	0.853	PSProteome
Q9Y4L1	HYOU1	0.853	PSProteome
P09661	RU2A	0.853	PSProteome
P16401	H15	0.853	PSProteome
O94875	SRBS2	0.853	PSProteome
P49916	DNLI3	0.853	PSProteome
Q99832	TCPH	0.853	PSProteome
P27986	P85A	0.853	PSProteome
Q12905	ILF2	0.853	PSProteome
P30101	PDIA3	0.853	PSProteome
P13010	XRCC5	0.853	PSProteome
P14625	ENPL	0.853	PSProteome
Q9Y6N7	ROBO1	0.853	PSProteome
Q9NYJ8	TAB2	0.853	PSProteome
Q13247	SRSF6	0.852	PSProteome
P52701	MSH6	0.852	PSProteome
P27816	MAP4	0.852	PSProteome
Q13480	GAB1	0.852	PSProteome
Q9P0K8	FOXJ2	0.852	PSProteome
P61956	SUMO2	0.851	PSProteome
P04150	GCR	0.851	PSProteome
Q8IWZ3	ANKH1	0.851	PSProteome
P46060	RAGP1	0.851	PSProteome
P15408	FOSL2	0.851	PSProteome
Q9Y3Y2	CHTOP	0.851	PSProteome
Q9HCE5	MET14	0.851	PSProteome
O43896	KIF1C	0.851	PSProteome
Q15025	TNIP1	0.851	PSProteome
P39748	FEN1	0.85	PSProteome
P05787	K2C8	0.85	PSProteome
Q8IXK0	PHC2	0.85	PSProteome
Q13950	RUNX2	0.85	PSProteome
Q8IWZ8	SUGP1	0.85	PSProteome
P25686	DNJB2	0.849	PSProteome
Q16629	SRSF7	0.849	PSProteome
O60264	SMCA5	0.849	PSProteome
Q9UNZ2	NSF1C	0.849	PSProteome
P35269	T2FA	0.849	PSProteome
Q92793	CBP	0.848	PSProteome
P02538	K2C6A	0.848	PSProteome
Q7KZ85	SPT6H	0.848	PSProteome
P29692	EF1D	0.848	PSProteome
Q9UNF1	MAGD2	0.848	PSProteome
Q96GM5	SMRD1	0.848	PSProteome
P18887	XRCC1	0.848	PSProteome
Q9Y4E8	UBP15	0.848	PSProteome
Q6NZI2	PTRF	0.848	PSProteome
P40818	UBP8	0.847	PSProteome
O14654	IRS4	0.847	PSProteome
P49711	CTCF	0.846	PSProteome
Q8ND56	LS14A	0.846	PSProteome
Q13164	MK07	0.846	PSProteome
P07437	TBB5	0.846	PSProteome
Q02790	FKBP4	0.846	PSProteome
O95425	SVIL	0.846	PSProteome
Q9HBL0	TENS1	0.846	PSProteome
Q07866	KLC1	0.845	PSProteome
P49792	RBP2	0.845	PSProteome
P63165	SUMO1	0.845	PSProteome
Q15084	PDIA6	0.845	PSProteome
P52594	AGFG1	0.845	PSProteome
Q8NFD5	ARI1B	0.845	PSProteome
P56524	HDAC4	0.845	PSProteome
P78332	RBM6	0.845	PSProteome
O43426	SYNJ1	0.844	PSProteome
Q7Z2W4	ZCCHV	0.844	PSProteome
Q9BVJ6	UT14A	0.844	PSProteome
P15336	ATF2	0.844	PSProteome
O96028	NSD2	0.844	PSProteome
Q9P2P5	HECW2	0.843	PSProteome
Q9BX66	SRBS1	0.843	PSProteome
P06576	ATPB	0.843	PSProteome
P40424	PBX1	0.843	PSProteome
O00444	PLK4	0.842	PSProteome
Q8IZD4	DCP1B	0.842	PSProteome
Q12965	MYO1E	0.842	PSProteome
Q4G0J3	LARP7	0.842	PSProteome
Q8NG27	PJA1	0.842	PSProteome
Q99798	ACON	0.842	PSProteome
P55036	PSMD4	0.842	PSProteome
Q7Z3B4	NUP54	0.842	PSProteome
O75152	ZC11A	0.842	PSProteome
P27824	CALX	0.842	PSProteome
Q96D71	REPS1	0.842	PSProteome
Q15750	TAB1	0.842	PSProteome
O75683	SURF6	0.841	PSProteome
P33176	KINH	0.841	PSProteome
Q9NQT8	KI13B	0.841	PSProteome
